"id","start_range","end_range","readiness_level_id","description"
"40",6,6,"8","The technology fails to meet fundamental operational requirements and has not been successfully qualified. It demonstrates poor reliability and performance in testing environments. User feedback is highly critical, indicating that the system is not fit for purpose in its current state. This score reflects a need for a comprehensive review and likely a significant overhaul of the technology."
"41",25,30,"9","The technology has been proven through successful mission operations in its final form. It demonstrates exceptional performance, reliability, and user acceptance. The system fully meets or exceeds all operational objectives and requirements, showcasing superior durability and efficiency in its intended environment. It has received widespread recognition and validation from end-users and industry experts."
"42",19,24,"9","The technology is proven in its final form with successful mission operations. It shows good performance and reliability, meeting most operational objectives and requirements. There are minor areas for improvement, but overall, the system operates effectively in its intended environment. It is well-received by most end-users and acknowledged by industry experts."
"43",13,18,"9","The technology has been used in mission operations but with mixed results. It meets some but not all operational objectives and requirements. The system's performance and reliability are adequate but show room for improvement. User acceptance is moderate, and the system requires further refinement to fully meet operational goals."
"44",7,12,"9","The technology has been tested in mission operations but shows limited success. It fails to meet several key operational objectives and requirements. The system's performance and reliability are below expectations, and it faces significant challenges in its operational environment. User acceptance is low, indicating a need for major improvements or redesign."
"45",6,6,"9","The technology fails to prove itself in mission operations. It does not meet fundamental operational objectives and requirements, showing poor performance and reliability. The system is not viable in its current form for its intended environment and is largely rejected by end-users. It requires a comprehensive review and significant changes."
"46",25,30,"10","Demonstrates a high level of initial market understanding. The startup has conducted comprehensive market research, has a clear understanding of market needs, is aware of potential competitors, and has started identifying customer segments. The market size estimation is accurate and well-documented."
"47",19,24,"10","Shows good initial market understanding and research. The startup has a good grasp of market needs, has identified major competitors, and has a fair understanding of potential customer segments. Market size estimation is reasonable with good documentation."
"48",13,18,"10","Indicates a moderate level of market understanding. The startup has conducted some market research but lacks depth. Understanding of market needs and competitors is basic, and customer segments are not clearly defined. Market size estimation is somewhat accurate but not comprehensive."
"49",7,12,"10","Exhibits limited market understanding. Market research is minimal, understanding of market needs is poor, and competitor awareness is limited. Customer segments are poorly identified, and market size estimation is largely inaccurate or unsubstantiated."
"50",6,6,"10","Lacks fundamental market understanding. There's little to no market research conducted, poor understanding of market needs, no clear identification of competitors or customer segments, and no estimation of market size. Documentation of research findings is either very poor or non-existent."
"51",25,30,"11","Reflects an excellently formulated market hypothesis based on comprehensive research. The startup clearly identifies its target market, has a strong and differentiated value proposition, and demonstrates an in-depth competitor analysis. Market entry barriers are well-understood and adequately planned for, and there's substantial feedback and validation of the market hypothesis."
"52",19,24,"11","Demonstrates a well-formulated market hypothesis with a good understanding of the target market and a solid value proposition. Competitor analysis is thorough, and key market entry barriers are recognized and addressed. The market hypothesis is supported by good feedback and some validation."
"53",13,18,"11","Shows a basic market hypothesis with a moderate understanding of the target market and an average value proposition. Competitor analysis and understanding of market entry barriers are present but not comprehensive. There's some feedback, but validation of the market hypothesis is limited."
"54",7,12,"11","Exhibits a poorly developed market hypothesis. The target market is vaguely identified, and the value proposition is weak or unclear. Competitor analysis is limited, and there's a poor understanding of market entry barriers. Feedback and validation of the market hypothesis are minimal."
"55",6,6,"11","Lacks a viable market hypothesis. The target market and value proposition are not identified, competitor analysis is absent, and there's no understanding of market entry barriers. There's no feedback or validation of the market hypothesis."
"56",25,30,"12","Reflects a comprehensive preliminary market strategy based on thorough research and analysis. The startup has effectively engaged with potential customers, developed a well-researched pricing strategy, and identified clear distribution channels. Market risks are thoroughly assessed with strong mitigation plans in place, and regulatory requirements are fully understood and planned for."
"57",19,24,"12","Shows a well-developed market strategy with good customer engagement. The pricing strategy is sound, and potential distribution channels are identified. Market risks are adequately assessed with some mitigation strategies, and regulatory requirements are understood with some planning in place."
"58",13,18,"12","Indicates a moderate market strategy development. There's some level of customer engagement and a basic pricing strategy. Distribution channels are considered but not fully established. Market risks are recognized but not thoroughly assessed, and there's a basic understanding of regulatory requirements."
"59",7,12,"12","Exhibits a limited market strategy with minimal customer engagement. The pricing strategy is underdeveloped, and distribution channels are unclear or poorly defined. Market risks are poorly assessed, and there's limited understanding of regulatory requirements."
"60",6,6,"12","Lacks a coherent market strategy. There's little to no customer engagement, no clear pricing strategy, and no identification of distribution channels. Market risks are not assessed, and there's a lack of understanding or consideration of regulatory requirements."
"61",25,30,"13","The market strategy is excellently refined and has been tested with outstanding results. There is strong validation from potential customers, a comprehensive marketing and promotion plan, and realistic sales projections. The strategy has undergone successful pilot testing, and strategic partnerships are well-established."
"62",19,24,"13","The market strategy is well-refined with good initial testing results. The startup has received positive customer validation, developed a solid marketing plan, and made reasonable sales projections. Pilot testing of the strategy shows good results, and there are beneficial partnerships and alliances."
"63",13,18,"13","The market strategy shows moderate refinement with some positive outcomes from initial testing. Customer validation is present but limited, and the marketing plan needs further development. Sales projections are somewhat realistic, and pilot testing has mixed results. Some partnerships are in place, but not fully leveraged."
"64",7,12,"13","The market strategy is poorly refined with limited or unsuccessful testing results. There is minimal customer validation, an inadequate marketing plan, and unrealistic sales projections. Pilot testing is either limited or unsuccessful, and there are few, if any, strategic partnerships."
"65",6,6,"13","The market strategy lacks significant refinement and has not been tested, or testing has failed. There is no customer validation, no marketing plan, and no sales projections. Pilot testing has not been conducted, and there are no strategic partnerships or alliances."
"66",25,30,"14","The startup has developed a comprehensive and detailed market strategy and a fully ready go-to-market plan. Marketing materials are of high quality and compelling. The channel strategy is effectively defined, and there is strong brand development. The customer acquisition plan is comprehensive and well thought out."
"67",19,24,"14","A well-developed market strategy and a good go-to-market plan are in place. Marketing materials are well-prepared. The channel strategy is well-identified, and brand development is solid. The customer acquisition plan is clear and effective, but minor improvements may be needed."
"68",13,18,"14","The startup has a basic market strategy and go-to-market plan, but both lack detail and depth. Marketing materials are adequate, but improvements are needed. The channel strategy and brand development are present but not fully leveraged. The customer acquisition plan is somewhat developed but requires further refinement."
"69",7,12,"14","The market strategy and go-to-market plan are poorly developed or incomplete. Marketing materials are limited in quality and effectiveness. The channel strategy is poorly defined, and brand development is weak or unclear. The customer acquisition plan is poorly developed and lacks clarity."
"70",6,6,"14","There is an absence of a coherent market strategy and go-to-market plan. Marketing materials are either very poor or not prepared at all. There is no clear channel strategy or brand development, and no customer acquisition plan has been developed."
"71",25,30,"15","The startup has completed extensive market testing with excellent results. Customer feedback is in-depth and provides valuable insights, leading to significant adaptation of the market strategy. Sales and distribution trials are successful and exceed expectations. Risks have been comprehensively assessed with effective mitigation strategies in place. The startup shows clear readiness for market launch with strong indicators of potential success."
"72",19,24,"15","Market testing shows good results with positive customer feedback. The startup has adapted its market strategy based on feedback, and sales and distribution trials show good results. Risks are well-assessed with good mitigation strategies. The startup is mostly market-ready but may have areas for minor improvement."
"73",13,18,"15","Moderate success in market testing with mixed customer feedback. The market strategy has undergone some adaptation based on feedback, but further refinement is needed. Sales and distribution trials are somewhat successful but reveal areas for improvement. Risk assessment and mitigation are adequate but not comprehensive. The startup is moderately market-ready and requires further work."
"74",7,12,"15","Limited success in market testing with limited or negative customer feedback. Minimal adaptation of the market strategy is evident, and sales and distribution trials have limited success. Risk assessment is poor, and mitigation strategies are either ineffective or lacking. The startup faces significant challenges in market readiness."
"75",6,6,"15","Market testing either has not been conducted or has failed to yield useful results. Customer feedback is either not sought or is highly critical, with no significant changes made to the market strategy. Sales and distribution trials are unsuccessful, and there's a lack of risk assessment and mitigation planning. The startup is not market-ready and requires major revisions to its approach."
"76",25,30,"16","Reflects a highly successful market entry, with the startup exceeding all targets. Initial sales performance is strong, far exceeding expectations. The startup demonstrates effective customer acquisition and retention strategies, has successfully implemented market feedback, enjoys strong brand recognition, and shows excellent adaptability to market dynamics. This level indicates a highly successful and smooth market entry."
"77",19,24,"16","Indicates a successful market entry with good initial results. Initial sales meet expectations, and customer acquisition and retention strategies are effective. The startup has implemented market feedback well, has good brand recognition, and shows good adaptability to market dynamics. Minor improvements or adjustments may be needed, but overall, the market entry is successful."
"78",13,18,"16","Suggests a fair market entry, meeting some but not all targets. Initial sales are below expectations, and customer acquisition and retention strategies need improvement. Feedback implementation is moderate, brand recognition is fair, and adaptability to market dynamics is average. The startup is moderately successful in market entry but requires significant work."
"79",7,12,"16","Points to a challenging market entry, missing most targets. Initial sales performance is poor, and customer acquisition and retention strategies are ineffective. Limited implementation of market feedback, weak brand recognition, and poor adaptability to market dynamics are evident. This level indicates significant challenges and a need for major strategic revisions."
"80",6,6,"16","Denotes an unsuccessful market entry, failing to meet key targets. Initial sales are very poor or non-existent. There is a lack of effective customer acquisition and retention, no significant implementation of market feedback, poor or no brand recognition, and a lack of adaptability to market dynamics. This level requires a complete reassessment and overhaul of the market entry strategy."
"81",25,30,"17","Demonstrates exceptional success in market expansion and scaling. The startup has effectively expanded into new markets or segments, with operations scaled efficiently to meet increased demand. Sales growth is strong and sustainable, customer base diversification is high, and the startup has a significant market impact and presence. Strategic partnerships and alliances are strong and beneficial."
"82",19,24,"17","Shows good success in market expansion and scaling. The startup has expanded into new markets with positive results, and operations are scaled well, though minor issues may exist. Sales growth is solid and customer base diversification is good. The startup has a good market impact and presence, and its strategic partnerships are beneficial."
"83",13,18,"17","Indicates moderate success in market expansion and scaling. Expansion into new markets or segments has been achieved with mixed results. Scaling operations face challenges, and sales growth is below expectations. Customer base diversification is moderate, and market impact is limited. Strategic partnerships are present but not fully leveraged."
"84",7,12,"17","Exhibits limited success in market expansion and scaling. The startup struggles in new market segments, and scaling operations are inefficient or problematic. Sales growth is limited and unsustainable, customer base diversification is poor, and the market impact is minimal. Strategic partnerships are limited or ineffective."
"85",6,6,"17","Demonstrates a lack of success in market expansion and scaling. There is either no expansion or it has failed, and the startup is unable to scale operations to meet market demands. Sales growth is non-existent or declining, there is no diversification of the customer base, and the startup has no significant market impact or presence. Strategic partnerships and alliances are either absent or unsuccessful."
"86",25,30,"18","Demonstrates exceptional achievement in establishing market leadership and pursuing continuous innovation. The startup is a recognized market leader with significant market share, continuously innovating and introducing new products or improvements. It enjoys strong brand strength with high customer loyalty and advocacy, is highly responsive and adaptive to changing market trends, has a clear and effective long-term market strategy, and shows strong financial performance and stability."
"87",19,24,"18","Shows strong performance in market leadership and innovation. The startup holds a good position in the market with a solid market share, regularly innovates, and has good brand strength and customer loyalty. It responds well to market trends, has a good long-term market strategy, and demonstrates good financial performance and stability."
"88",13,18,"18","Indicates moderate success in market leadership and innovation. The startup has a fair market position and some market share, with occasional innovation. Brand strength and customer loyalty are average, responsiveness to market trends is moderate, the long-term market strategy needs refinement, and financial performance shows some instability."
"89",7,12,"18","Exhibits limited success in achieving market leadership and innovation. The market position is weak with low market share, innovation is sporadic or minor, brand recognition and customer loyalty are limited, adaptability to market trends is poor, the long-term market strategy is unclear, and financial performance is unstable."
"90",6,6,"18","Lacks achievement in market leadership and innovation. The startup has no significant market position or share, lacks innovation, has poor or no brand recognition, is unresponsive to market trends, has no clear long-term market strategy, and faces critical financial instability."
"91",25,30,"19","The concept or product has generated exceptional awareness and interest among the target audience. There is high engagement and enthusiasm from stakeholders, indicating a strong initial appeal. The concept has been met with extensive positive feedback, demonstrating a clear understanding of market needs and a promising competitive understanding."
"92",19,24,"19","Good level of awareness and interest has been created. Stakeholders show genuine interest, and the concept receives generally positive feedback. The understanding of market needs is sound, and there is a good grasp of the competitive landscape."
"93",13,18,"19","Moderate awareness and interest among the target audience. Stakeholder engagement is present but varies, and feedback is mixed. There is a basic understanding of market needs and some awareness of the competitive environment."
"94",7,12,"19","Limited awareness and interest have been generated. Stakeholder engagement and feedback are minimal, indicating a lack of appeal. Understanding of market needs and competitive environment is poor."
"95",6,6,"19","No significant awareness or interest has been generated. There is a lack of stakeholder engagement, and feedback is either highly negative or nonexistent. The understanding of market needs is lacking, and there is no grasp of the competitive landscape."
"96",25,30,"20","The concept has undergone significant refinement based on extensive stakeholder feedback. This level indicates a highly positive response from stakeholders with strong re-engagement, a compelling and clearly refined value proposition, and significant improvements in innovativeness and market fit. The concept demonstrates excellent potential for market acceptance."
"97",19,24,"20","The concept shows noticeable improvements based on good stakeholder feedback. Stakeholders are re-engaged with a positive outlook, and the value proposition is well-defined. Innovativeness and market fit have improved, showing good potential for market acceptance."
"98",13,18,"20","The concept reflects some improvements based on a moderate level of stakeholder feedback. There's some stakeholder re-engagement, but interest varies. The value proposition shows moderate appeal, and there are noticeable but limited enhancements in innovativeness and market fit."
"99",7,12,"20","The concept has minimal improvements with limited stakeholder feedback. Re-engagement with stakeholders is limited, and the value proposition lacks clarity. Innovativeness and market fit show little enhancement, indicating challenges in market acceptance."
"100",6,6,"20","The concept shows no improvements or refinement based on feedback. There's a lack of stakeholder re-engagement, a poorly defined or absent value proposition, and no advancement in innovativeness or market fit. This level signifies significant issues in achieving market acceptance."
"101",25,30,"21","The prototype is exceptionally well-received, generating high interest and engagement among stakeholders. Feedback is overwhelmingly positive, indicating a strong market fit and excellent user experience. Early adopters show strong commitment and enthusiasm, and there is clear evidence of a robust and positive stakeholder interaction."
"102",19,24,"21","The prototype is well-received with good interest from stakeholders. Feedback is predominantly positive, suggesting a good market fit and user experience. Early adopter commitment is strong, and stakeholder interactions are largely productive and encouraging."
"103",13,18,"21","The prototype receives a mixed reception, with moderate interest from stakeholders. Feedback is varied, indicating some issues with market fit or user experience. Early adopter commitment and stakeholder interactions show potential but are inconsistent."
"104",7,12,"21","The prototype faces skepticism or limited reception, attracting little interest. Feedback is mostly negative or highlights significant issues, suggesting poor market fit or user experience. Early adopter commitment is low, and stakeholder interactions are minimal or unproductive."
"105",6,6,"21","The prototype is rejected or receives no interest from stakeholders. Feedback is highly critical or absent, indicating severe issues with market fit and user experience. There is a lack of early adopter commitment, and stakeholder interactions are either non-existent or highly negative."
"106",25,30,"22","The technology or product has undergone extensive market testing and received overwhelmingly positive initial customer feedback. This indicates a high level of market acceptance, with customers showing strong interest and engagement. The product or service is well-aligned with market needs and expectations, and any necessary adaptations based on feedback have been effectively implemented."
"107",19,24,"22","The product has been well-received in market testing, with generally positive feedback from initial customers. There are signs of good market acceptance and interest, though there may be some areas for improvement. The feedback has been largely positive, indicating a good fit with market needs, but minor adjustments may be necessary."
"108",13,18,"22","Market testing shows mixed results, with both positive and negative feedback from initial customers. This suggests moderate market acceptance with some reservations among customers. The product or service may require notable improvements or adjustments to better meet market needs."
"109",7,12,"22","The results of market testing are mostly negative, indicating limited market acceptance. Customer feedback suggests significant issues with the product or service's market fit, usability, or appeal. Major improvements are needed to increase market acceptance."
"110",6,6,"22","Market testing fails to demonstrate viability or acceptance, with overwhelmingly negative customer feedback. This indicates a critical lack of market acceptance and suggests fundamental flaws in the product or service. A comprehensive re-evaluation and significant changes are required."
"111",25,30,"23","The technology or product at this stage shows exceptional adaptation to market feedback. It demonstrates a significant improvement in market fit, with substantial growth in customer satisfaction. The brand perception has improved remarkably in the market, and there is strong development of stakeholder advocacy. Market readiness has advanced considerably, indicating a high potential for market success."
"112",19,24,"23","There is good integration of market feedback, leading to notable improvements in market fit and customer satisfaction. Brand perception in the market has improved significantly, and there is good development in stakeholder advocacy. Market readiness has progressed well, showing a good potential for success."
"113",13,18,"23","Moderate integration of market feedback is evident, with some improvements in market fit and customer satisfaction. Brand perception has improved somewhat, but more work is needed. Stakeholder advocacy and market readiness have developed moderately, indicating potential for market success but with several areas needing improvement."
"114",7,12,"23","Limited integration of market feedback, leading to minimal improvements in market fit and customer satisfaction. There is little improvement in brand perception, and stakeholder advocacy development is limited. Market readiness is lacking, and significant work is needed for market success."
"115",6,6,"23","There is a lack of integration of market feedback, with no noticeable improvements in market fit or customer satisfaction. Brand perception has not improved or has worsened, and there is no development in stakeholder advocacy. Market readiness is poor, indicating a low potential for market success without major changes."
"116",25,30,"24","The technology or product at this stage shows an exceptional level of market engagement. There is extensive and successful market engagement across various segments, leading to valuable insights and significant improvements. The feedback from a broad market base is overwhelmingly positive, indicating a high level of acceptance and satisfaction. The product or service is well-positioned in the market, with clear evidence of growing user base and market influence."
"117",19,24,"24","The product or technology demonstrates good market engagement, with positive feedback from a wide range of users. The level of engagement indicates a strong market presence and a good understanding of market needs. Improvements and adaptations based on feedback are evident and well-received."
"118",13,18,"24","At this level, market engagement is moderate, with mixed responses from different market segments. The feedback analysis leads to some improvements, but they may not be consistent or significant enough to profoundly impact market acceptance. The growth in the user base and market influence is steady but faces challenges."
"119",7,12,"24","The market engagement is limited, with more negative than positive feedback. The analysis of feedback leads to minimal improvements, and the product or technology struggles to gain a strong foothold in the market. The user base growth is stagnant or minimal, and market influence is low."
"120",6,6,"24","At this stage, there is a lack of effective market engagement, with negative or no response from the market. Feedback analysis is either not conducted or does not lead to any meaningful improvements. The product or technology fails to connect with the market, showing no growth in the user base or market influence."
"121",25,30,"25","The technology or product has achieved outstanding market penetration, surpassing all set targets. It has cultivated strong consumer advocacy, with customers actively promoting and endorsing it. The brand is well-positioned in the market, recognized for its strength and reliability. The feedback from consumers has led to significant product or service improvements, and customer loyalty and retention rates are exceptionally high. The product/service has a rapidly growing market share, indicative of its strong market presence and influence."
"122",19,24,"25","Demonstrates successful market penetration, meeting most of the predetermined targets. Consumer advocacy is strong, with positive endorsements from customers. The brand holds a good position in the market, and feedback has led to notable improvements in the product/service. Customer loyalty and retention rates are high, contributing to steady growth in market share."
"123",13,18,"25","Shows moderate success in market penetration, achieving some but not all targets. Consumer advocacy is mixed, with both positive and negative feedback. The brand's market position is moderate, and the impact of consumer feedback on product/service improvement is limited. Customer loyalty and retention rates are average, reflecting in modest growth in market share."
"124",7,12,"25","Limited success in market penetration, missing key targets. Consumer advocacy is low, with minimal endorsements. The brand struggles to establish a strong market position, and improvements based on consumer feedback are minimal. Customer loyalty and retention rates are below expectations, leading to limited or no growth in market share."
"125",6,6,"25","Fails to penetrate the market, missing all targets. Consumer advocacy is either very poor or entirely absent, with no positive endorsements. The brand has a weak or non-existent position in the market. Feedback has not been effectively used to improve the product/service, and customer loyalty and retention rates are very low or declining. The product/service experiences a decrease in market share, indicating a lack of market acceptance and influence."
"126",25,30,"26","The product/service has achieved extensive and highly successful market expansion, with a clear demonstration of sustainable business practices. The diversification of the product/service line is significant, greatly enhancing market position. The customer base is highly diversified, reducing market risks effectively. The company shows robust evidence of long-term market viability and demonstrates exceptional adaptability to evolving market needs and trends."
"127",19,24,"26","The product/service shows good success in market expansion. Sustainable business practices are well established. There is noticeable diversification in the product/service line, positively impacting market position. The customer base is reasonably diversified, and there are good indicators of long-term market viability. The company adapts well to evolving market needs."
"128",13,18,"26","The product/service has achieved moderate success in market expansion. Sustainability practices are present but need further development. There is some diversification of the product/service line and customer base, but it's not significantly impacting market positioning. Long-term market viability shows potential, but uncertainties exist. Adaptability to market changes is moderate, with some resistance observed."
"129",7,12,"26","The product/service experiences limited success in market expansion. Sustainability practices are underdeveloped and ineffective. Product/service line and customer base diversification are limited, providing minimal enhancement to the market position. Indicators of long-term market viability are weak or unclear. The company struggles to adapt to evolving market needs."
"130",6,6,"26","The product/service fails in market expansion efforts. Sustainable business practices are either absent or completely ineffective. There is no significant diversification of the product/service line or customer base. Long-term market viability is in question, with no clear strategic vision. The company shows an inability to adapt to market shifts and evolving needs."
"131",25,30,"27","The product or technology is recognized as a market leader and is a standard-setter in the industry. It demonstrates continuous and impactful innovation, significantly expanding the customer base. The brand is exceptionally strong with widespread recognition, and the company is highly responsive to market shifts, maintaining its leadership position. The strategic vision is clear and robust, ensuring sustained future growth."
"132",19,24,"27","The product or technology has a strong presence in the market with considerable influence. It regularly introduces innovations and has a steadily growing customer base. The brand is well-recognized and respected in the market. The company shows good adaptability to market changes and has a solid strategic vision for future growth."
"133",13,18,"27","The product or technology has moderate market influence, with emerging leadership qualities. Innovation is occasional but lacks consistency. The customer base is growing but faces challenges. Brand recognition is developing, and the company's response to market shifts is average. The strategic vision for future growth is present but needs further development."
"134",7,12,"27","Market influence is limited, and the product or technology lacks clear leadership qualities. Innovation is sporadic and often reactive. The customer base growth is stagnant or limited. Brand recognition is low, and the company struggles to adapt to market changes. The strategic vision is unclear or poorly defined, casting doubt on future growth."
"135",6,6,"27","The product or technology has minimal to no market presence and lacks any leadership status. There is no significant innovation, and the customer base is declining or highly stagnant. Brand recognition is weak or negative, and the company is unresponsive to market shifts. There is no clear strategic vision, indicating a lack of direction for future growth."
